"","age","handedness","gender","list","radians","center","pos_1","pos_2","type","degrees","map_file","PE","object","isFiller","outdoors_response","stimulus","ind_out_resp.keys","ind_out_resp.rt","participant","trial_n_block","block","trial_n","x","y","fixations","center_low","fixation_error","fixation_prediction"
"666",22,"r","m","lists/127/stimuli_position_map_1.csv",3.11097941742876,341.899159663866,71.8991596638655,251.899159663866,"high",178.336399725216,"maps/google_map_1.png","163.56275993865","objects/1/1_91.jpg",0,"outdoors","Toad.jpg","a",0.501149800000036,127,62,1,62,662.200012207031,504.399993896484,173.183021073943,341.899159663866,5.1533786512733,168.716138589923
"676",22,"r","m","lists/127/stimuli_position_map_1.csv",3.70130065359477,341.899159663866,341.899159663866,227.260504201681,"singletons",212.176470588235,"maps/google_map_1.png","None","objects/1/1_46.jpg",0,"outdoors","Hat_Cowboy.jpg","a",0.347719500000068,127,63,1,63,719.799987792969,683.5,210.854888132245,341.899159663866,1.32158245598967,131.044271531621
"686",22,"r","m","lists/127/stimuli_position_map_1.csv",5.92004968643831,341.899159663866,71.8991596638655,251.899159663866,"low",339.365905592005,"maps/google_map_1.png","2.53325407186068","objects/1/1_111.jpg",0,"indoors","Hand.jpg","l",4.97689590000007,127,64,1,64,1272.90002441406,640.099975585938,342.259984736752,341.899159663866,2.89407914474697,0.360825072885973
"696",22,"r","m","lists/127/stimuli_position_map_1.csv",5.96674079630585,341.899159663866,71.8991596638655,251.899159663866,"low",342.042466030272,"maps/google_map_1.png","0.143306366406143","objects/1/1_126.jpg",1,"outdoors","Bench_Park.jpg","a",0.444647299999957,127,65,1,65,1308.40002441406,675.799987792969,338.705068739718,341.899159663866,3.33739729055372,3.1940909241477
"706",22,"r","m","lists/127/stimuli_position_map_1.csv",5.49065361614494,341.899159663866,71.8991596638655,251.899159663866,"low",314.750844237608,"maps/google_map_1.png","27.1483154262577","objects/2/2_107.jpg",1,"indoors","Card_TwoSpade.jpg","l",0.741081600000058,127,66,1,66,1168.80004882812,883.700012207031,301.278959706538,341.899159663866,13.4718845310696,40.6201999573275
"7110",22,"r","m","lists/127/stimuli_position_map_1.csv",3.49749222600499,341.899159663866,71.8991596638655,251.899159663866,"high",200.493184930222,"maps/google_map_1.png","141.405974733643","objects/1/1_125.jpg",0,"outdoors","Door_Green.jpg","a",0.730333500000057,127,67,1,67,700.599975585938,624.299987792969,198.003158693037,341.899159663866,2.49002623718536,143.896000970829
"726",22,"r","m","lists/127/stimuli_position_map_1.csv",1.7974122707978,341.899159663866,71.8991596638655,251.899159663866,"medium",103.036372211339,"maps/google_map_1.png","121.137212547474","objects/1/1_27.jpg",0,"indoors","Toy_WoodenPlainSingle.jpg","l",2.53571639999998,127,68,1,68,901.700012207031,241.899993896484,101.065773319804,341.899159663866,1.97059889153536,119.166613655938
"736",22,"r","m","lists/127/stimuli_position_map_1.csv",0.150523857676592,341.899159663866,71.8991596638655,251.899159663866,"low",8.62875617254347,"maps/google_map_1.png","26.7295965086779","objects/1/1_30.jpg",0,"outdoors","Dolphine.jpg","a",0.357791000000049,127,69,1,69,1312.40002441406,483.799987792969,9.06110652925115,341.899159663866,0.432350356707676,27.1619468653852
"746",22,"r","m","lists/127/stimuli_position_map_1.csv",4.91171055088702,341.899159663866,251.899159663866,133.739495798319,"singletons",281.563025210084,"maps/google_map_1.png","None","objects/1/1_134.jpg",0,"indoors","Pretzel_Sticks.jpg","l",0.370811000000032,127,70,1,70,1017.09997558594,838,280.847009156253,341.899159663866,0.716016053831311,61.0521505076133
"756",22,"r","m","lists/127/stimuli_position_map_1.csv",2.00499374416789,341.899159663866,71.8991596638655,251.899159663866,"medium",114.935947117904,"maps/google_map_1.png","133.036787454039","objects/1/1_127.jpg",0,"outdoors","FireHydrant.jpg","a",0.445427500000079,127,71,1,71,814.299987792969,290.5,120.283560500822,341.899159663866,5.3476133829184,138.384400836956
